"Country","Diabetes_Prevalence","Over_70","Total_Deaths","Per_Million_Total_Deaths"
"Namibia",3.94,2.085,0,0
"Nepal",7.26,3.212,29,0.995
"Netherlands",5.29,11.881,6107,356.408
"New Caledonia",23.36,6.489,0,0
"New Zealand",8.08,9.72,22,4.562
"Nicaragua",11.47,3.519,74,11.171
"Niger",2.42,1.378,67,2.768
"Nigeria",2.42,1.447,573,2.78
"Northern Mariana Islands",NA,NA,2,34.748
"Norway",5.31,10.813,249,45.93
"Oman",12.61,1.53,169,33.094
"Pakistan",8.35,2.78,4304,19.485
"Palestine",10.59,1.726,8,1.568
"Panama",8.33,5.03,620,143.693
"Papua New Guinea",17.65,2.142,0,0
"Paraguay",8.27,3.833,16,2.243
"Peru",5.95,4.455,9504,288.246
"Philippines",7.07,2.661,1255,11.453
"Poland",5.91,10.202,1444,38.154
"Portugal",9.85,14.924,1568,153.775
"Puerto Rico",12.9,9.829,153,53.481
"Qatar",16.52,0.617,113,39.222
"Romania",9.74,11.69,1634,84.937
"Russia",6.18,9.393,9166,62.809
"Rwanda",4.28,1.642,2,0.154
"Saint Kitts and Nevis",12.84,NA,0,0
"Saint Lucia",11.62,6.405,0,0
"Saint Vincent and the Grenadines",11.62,4.832,0,0
"San Marino",5.64,NA,42,1237.551
"Sao Tome and Principe",2.42,2.162,13,59.317
"Saudi Arabia",17.72,1.845,1599,45.93
"Senegal",2.42,1.796,108,6.45
"Serbia",10.08,NA,274,40.267
"Seychelles",10.55,5.586,0,0
"Sierra Leone",2.42,1.285,60,7.522
"Singapore",10.99,7.049,26,4.444
"Sint Maarten (Dutch part)",NA,NA,15,349.797
"Slovakia",7.29,9.167,28,5.129
"Slovenia",7.25,12.93,111,53.393
"Somalia",6.05,1.496,90,5.663
"South Africa",5.52,3.053,2529,42.641
"South Korea",6.8,8.622,282,5.5
"South Sudan",10.43,2.032,37,3.305
"Spain",7.17,13.799,28355,606.462
"Sri Lanka",10.68,5.331,11,0.514
"Sudan",15.67,2.034,572,13.045
"Suriname",12.54,4.229,13,22.16
"Swaziland",3.94,1.845,11,9.481
"Sweden",4.79,13.433,5310,525.781
"Switzerland",5.59,12.644,1681,194.232
"Syria",NA,2.577,9,0.514
"Taiwan",NA,8.353,7,0.294
"Tajikistan",7.11,2.155,52,5.452
"Tanzania",5.75,1.874,21,0.352
"Thailand",7.04,6.89,58,0.831
"Timor",6.86,1.897,0,0
"Togo",6.15,1.525,14,1.691
"Trinidad and Tobago",10.97,5.819,8,5.716
"Tunisia",8.52,5.075,50,4.231
"Turkey",12.13,5.061,5115,60.648
"Turks and Caicos Islands",NA,NA,1,25.828
"Uganda",2.5,1.308,0,0
"Ukraine",7.11,11.133,1147,26.227
"United Arab Emirates",17.26,0.526,314,31.748
"United Kingdom",4.28,12.527,43575,641.885
"United States",10.79,9.732,126140,381.085
"United States Virgin Islands",12.26,10.799,6,57.459
"Uruguay",6.93,10.361,27,7.773
"Uzbekistan",7.57,2.873,24,0.717
"Vatican",NA,NA,0,0
"Venezuela",6.47,3.915,48,1.688
"Vietnam",6,4.718,0,0
"Western Sahara",NA,1.38,1,1.674
"Yemen",5.35,1.583,304,10.192
"Zambia",3.94,1.542,22,1.197
"Zimbabwe",1.82,1.882,7,0.471
